title,authors,where_published,DOI,provenance,source_wg_report,study_specific_inclusion_notes,year,duplicate_group,duplicate_of_or_relation,relevance_tier,prior_wg_status,publication_type,numpages,assignment_scope,catalogue_status,catalogue_entry_id,catalogue_file,exclusion_reason
"""Call me Kiran"" – ChatGPT as a Tutoring Chatbot in a Computer Science Course","Rajala, Jaakko; Hukkanen, Jenni; Hartikainen, Maria; Niemelä, Pia",Proceedings of the 26th International Academic Mindtrek Conference,10.1145/3616961.3616974,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 12,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: In addition, all the students had freedom to employ ChatGPT and related technologies to help them in their coursework.",2023,,,1-direct implemented/proposed course or assignment change,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
61A Bot Report: AI Assistants in CS1 Save Students Homework Time and Reduce Demands on Staff. (Now What?),"Zamfirescu-Pereira, J.D.; Qi, Laryn; Hartmann, Björn; DeNero, John; Norouzi, Narges",Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,10.1145/3641554.3701864,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 131,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: LLM-based chatbots enable students to get immediate, interactive help on homework assignments, but even a thoughtfully-designed bot may not serve all pedagogical goals.",2025,,,3-assignment feedback/support or student use,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:cs61a-bot-homework,site/public/data/assessments/assessment-cs61a-bot-homework.json,
A Benchmark for Testing the Capabilities of LLMs in Assessing the Quality of Multiple-choice Questions in Introductory Programming Education,"Ramesh, Aninditha; Agarwal, Arav; Doughty, Jacob Arthur; Ramaneti, Ketan; Savelka, Jaromir; Sakr, Majd",Proceedings of the 2024 on ACM Virtual Global Computing Education Conference V. 1,10.1145/3649165.3690123,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 39,The Rest of the Robots (ITiCSE 2025 WG),"Studies student GenAI use or a GenAI feedback, hint, tutoring, or support mechanism tied to coursework or programming tasks. Supplied evidence: Recent studies have focused on the use of LLMs for generating various educational artifacts for programming education, such as programming exercises, model solutions, or multiple-choice questions (MCQs).",2024,,,3-assignment feedback/support or student use,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,,,,Did not meet the review's eligibility criteria
A Bug's New Life: Creating Refute Questions from Filtered CS1 Student Code Snapshots,"Agarwal, Nimisha; Kumar, Viraj; Raman, Arun; Karkare, Amey",Proceedings of the ACM Conference on Global Computing Education Vol 1,10.1145/3576882.3617916,the-rest-of-the-robots-github/output/lower_computing.csv / lower row 114,The Rest of the Robots (ITiCSE 2025 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: Such a question can be used as an assessment item to (formatively) develop or (summatively) demonstrate a student's abilities to comprehend the task and the code well enough to recognize a mismatch.",2023,,,2-authentic assignment/assessment evidence,2025 WG dataset: lower; classifier=RELEVANT,,,Yes,loaded,assessment:cs1-refute-questions,site/public/data/assessments/assessment-cs1-refute-questions.json,
A Comparative Study of AI-Generated (GPT-4) and Human-crafted MCQs in Programming Education,"Doughty, Jacob; Wan, Zipiao; Bompelli, Anishka; Qayum, Jubahed; Wang, Taozhi; Zhang, Juran; Zheng, Yujia; Doyle, Aidan; Sridhar, Pragnya; Agarwal, Arav; Bogart, Christopher; Keylor, Eric; Kultur, Can; Savelka, Jaromir; Sakr, Majd",Proceedings of the 26th Australasian Computing Education Conference,10.1145/3636243.3636256,beyond-the-hype.pdf + beyond-the-hype.html / References [38],Beyond the Hype (ITiCSE 2024 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: There is a constant need for educators to develop and maintain effective up-to-date assessments.",2024,DG078,same work as canonical occurrence in DG078; preserved for distinct provenance,2-authentic assignment/assessment evidence,2024 WG report reference,,,Yes,loaded,assessment:gpt4-python-mcq-bank,site/public/data/assessments/assessment-gpt4-python-mcq-bank.json,
A Comparative Study of AI-Generated (GPT-4) and Human-crafted MCQs in Programming Education,"Doughty, Jacob; Wan, Zipiao; Bompelli, Anishka; Qayum, Jubahed; Wang, Taozhi; Zhang, Juran; Zheng, Yujia; Doyle, Aidan; Sridhar, Pragnya; Agarwal, Arav; Bogart, Christopher; Keylor, Eric; Kultur, Can; Savelka, Jaromir; Sakr, Majd",Proceedings of the 26th Australasian Computing Education Conference,10.1145/3636243.3636256,the-rest-of-the-robots-github/output/subject_vibes_upper_computing.csv / upper row 13,The Rest of the Robots (ITiCSE 2025 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: There is a constant need for educators to develop and maintain effective up-to-date assessments.",2024,DG078,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,2-authentic assignment/assessment evidence,2025 WG dataset: upper,,,Yes,loaded,assessment:gpt4-python-mcq-bank,site/public/data/assessments/assessment-gpt4-python-mcq-bank.json,
A Comparative Study of Gender Differences in the Utilization and Effectiveness of AI-Assisted Learning Tools in Programming Among University Students,"Maurat, John Ivan Curbano; Isip, Elsie Villareal; Lumabas, Aileen Gail Regala",Proceedings of the 2024 International Conference on Artificial Intelligence and Teacher Education,10.1145/3702386.3702392,the-rest-of-the-robots-github/output/other_relevance_to_wg.csv / other row 171,The Rest of the Robots (ITiCSE 2025 WG),"Borderline: the paper broadly discusses computing-course assessment or assignment redesign, but the supplied metadata does not establish a specific implemented assignment change. Supplied evidence: The study sought to investigate the frequency of AI tool use and students' assessments of their efficacy in learning programming fundamentals.",2025,,,4-borderline assignment-relevant context,2025 WG dataset: other; classifier=RELEVANT,,,No,,,,Assessment not a substantive object of study
A Critical Approach to ChatGPT: An Experience in SQL Learning,"Farinetti, Laura; Cagliero, Luca",Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,10.1145/3641554.3701932,the-rest-of-the-robots-github/output/subject_vibes_upper_computing.csv / upper row 76,The Rest of the Robots (ITiCSE 2025 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: The paper reports the results of this analysis and discusses the impact of the activity on learning by analyzing the correlation between students' participation and exam performance.",2025,DG090,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,2-authentic assignment/assessment evidence,2025 WG dataset: upper,,,Yes,loaded,assessment:sql-challenge-chatgpt,site/public/data/assessments/assessment-sql-challenge-chatgpt.json,
A Critical Approach to ChatGPT: An Experience in SQL Learning,"Farinetti, Laura; Cagliero, Luca",Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,10.1145/3641554.3701932,the-rest-of-the-robots.pdf + the-rest-of-the-robots.html / References [34],The Rest of the Robots (ITiCSE 2025 WG),"Tests GenAI on authentic or course-like assignments, assessments, exercises, projects, or exams, informing whether those tasks need redesign. Supplied evidence: The paper reports the results of this analysis and discusses the impact of the activity on learning by analyzing the correlation between students' participation and exam performance.",2025,DG090,same work as canonical occurrence in DG090; preserved for distinct provenance,2-authentic assignment/assessment evidence,2025 WG report reference,,,Yes,loaded,assessment:sql-challenge-chatgpt,site/public/data/assessments/assessment-sql-challenge-chatgpt.json,
A Data Science Course Utilizing GenAI,"Browning, Jonathan W.; Bustard, John; Anderson, Neil; Galway, Leo",2024 IEEE Frontiers in Education Conference (FIE),10.1109/fie61694.2024.10893452,the-rest-of-the-robots-github/output/subject_vibes_upper_computing.csv / upper row 86,The Rest of the Robots (ITiCSE 2025 WG),"Describes or proposes a concrete change to an assignment, assessment, project, exam, or course GenAI policy. Supplied evidence: A notable innovation of our approach is the introduction of a dual-report assessment method, which not only evaluates the students' project results but also their proficiency in prompt engineering - a crucial skill for effective interaction with genAI tools.",2024,DG020,canonical occurrence for this catalogue; repeated in other supplied provenance buckets,1-direct implemented/proposed course or assignment change,2025 WG dataset: upper,,,Yes,loaded,assessment:data-science-dual-report-genai,site/public/data/assessments/assessment-data-science-dual-report-genai.json,
